"Country","Name","State","Name (Native Language)","Level"
"","(same as LS - i think they are all the same??) Bavarian Law on the Protection of Nature, the Care of the Landscape and Recreation in the Great Outdoors (Bavarian Nature Conservation Act – BayNatSchG)","Cancelled","Bayerisches Gesetz zum Schutz der Natur, zur Pflege der Landschaft und zur Erholung in der freien Natur (Bayerisches Naturschutzgesetz – BayNatSchG)","Global"
"Finland","Finnish Environmental Protection Act(527/2014; amendments up to 905/2020 included)","Published","Ympäristönsuojelulaki (527/2014)","National"
"Finland","Finnish Environmental Protection Decree (713/2014)","Published","Valtioneuvoston asetus ympäristönsuojelusta (713/2014)","National"
"Germany","Law on Nature Conservation and Landscape Management of Berlin (Berlin Nature Conservation Act - NatSchG Bln)","Cancelled","Gesetz über den Naturschutz und die Landschaftspflege des Landes Berlin (Berliner Naturschutzgesetz – NatSchG Bln)","Regional"
"Romania","National Strategy on Adaptation to Climate Change (SNASC)","Published","Strategie Națională privind adaptarea la schimbările climatice (SNASC) pentru perioada 2024-2030, cu perspectiva anului 2050","National"
"Germany","Law of the State of Baden-Württemberg on the Protection of Nature and Landscape Care (Nature Conservation Act - NatSchG)","Cancelled","Gesetz des Landes Baden-Württemberg über den Schutz der Natur und die Landschaftspflege (Naturschutzgesetz – NatSchG)","Regional"
"","Climate Protection and Climate Change Adaptation Act of Baden-Württemberg (KlimaG BW)","Cancelled","Klimaschutz- und Klimawandelanpassungsgesetz Baden-Württemberg (KlimaG BW)","Global"
"","Climate Protection and Climate Change Adaptation Act of Baden-Württemberg (KlimaG BW)","Cancelled","","Global"
"Romania","Guide for the Restoration of Degraded Peatlands from Romania","Published","","National"
"Finland","Finnish Water Act (587/2011)","Published","Vesilaki (587/2011)","National"
"Romania","DECISION No. 856 of August 13, 2008 on waste management from extractive industries","Published","HOTĂRÂRE nr. 856 din 13 august 2008 privind gestionarea deşeurilor din industriile extractive","National"
"Finland","Finnish Act on Environmental Impact Assessment Procedure (252/2017) (""EIA Act"")","Published","Laki ympäristövaikutusten arviointimenettelystä (252/2017) (""YVA-laki"")","National"
"Finland","Risk assessment and sustainable risk management of contaminated land, Finland","Published","Pilaantuneen maa-alueen riskinarviointi ja kestävä riskinhallinta","National"
"Denmark","Climate Programme 2020","Published","","National"
"Denmark","Watershed Plans 2021-2027","Published","Vandområdeplanerne 2021-2027","National"
"Finland","Finnish Government Decree on Sustainable Forest Management (1308/2013)","Published","Valtioneuvoston asetus metsien kestävästä hoidosta ja käytöstä (1308/2013)","National"
"Finland","Finnish Forest Act (1093/1996)","Published","Metsälaki (1093/1996)","National"
"Finland","Decree of the Ministry of Agriculture and Forestry on forest use notification (1320/2013), Finland","Published","Maa- ja metsätalousministeriön asetus metsänkäyttöilmoituksesta","National"
"Romania","National Water Management Strategy","Cancelled","Strategia Națională pentru Gospodărirea Apelor","National"
"Finland","Act on a Temporary Forestry Incentive Scheme (71/2023)","Published","Laki metsätalouden määräaikaisesta kannustejärjestelmästä (71/2023)","National"
"Romania","Updated National River Basin Management Plan 2021-2027","Published","Planul Naţional de Management Actualizat Aferent Porţiunii din Bazinul Hidrografic Internaţional al Fluviului Dunărea care este Cuprinsă în Teritoriul României","National"
"Finland","Government resolution on the sustainable and responsible use and conservation of mires and peatlands","Published","Valtioneuvoston Periaatepäätös Soiden Ja Turvemaiden Kestävästä Ja Vastuullisesta Käytöstä Ja Suojelusta","National"
"Germany","Climate Protection and Climate Change Adaptation Act of Baden-Württemberg (KlimaG BW)","Cancelled","Klimaschutz- und Klimawandelanpassungsgesetz Baden-Württemberg (KlimaG BW)","Regional"
"United Kingdom","[NGO, maybe add as national contact]UK Peatland Code","Cancelled","","National"
"Germany","Brandenburg Implementation Act to the Federal Nature Conservation Act (Brandenburg Nature Conservation Implementation Act - BbgNatSchAG)","Cancelled","Brandenburgisches Ausführungsgesetz zum Bundesnaturschutzgesetz (Brandenburgisches Naturschutzausführungsgesetz – BbgNatSchAG)","Regional"
"Denmark","Natura 2000-Plan for Denmark for 2022-27","Cancelled","Natura 2000-Plan for Danmark for 2022-27","National"
"Germany","Regulation on the implementation of the legal provisions of the Common Agricultural Policy in the State of Brandenburg (Brandenburg CAP Implementation Regulation - BbgGAPUV)","Cancelled","Verordnung zur Durchführung der Rechtsvorschriften der Gemeinsamen Agrarpolitik im Land Brandenburg (Brandenburgische GAP-Durchführungsverordnung – BbgGAPUV)","Regional"
"Germany","Law of the State of Mecklenburg-Western Pomerania on the implementation of the Federal Nature Conservation Act (Nature Conservation Implementation Act - NatSchAG MV)","Cancelled","Gesetz des Landes Mecklenburg-Vorpommern zur Durchführung des Bundesnaturschutzgesetzes (Naturschutzdurchführungsgesetz – NatSchAG MV)","Regional"
"Germany","Mecklenburg-Vorpommern Regulation on the nature reserve “Göldenitzer Moor ”","Cancelled","Verordnung Mecklenburg-Vorpommern über das Naturschutzgebiet „Göldenitzer Moor“","Regional"
"Germany","Schleswig-Holstein Law on the Protection of Nature (State Nature Conservation Act - LNatSchG)","Cancelled","Schleswig-Holsteinisches Gesetz zum Schutz der Natur (Landesnaturschutzgesetz – LNatSchG)","Regional"
"Austria","The 3rd National Water Management Plan, AT (NGP 2021)","Published","Der 3. Nationaler Gewässerbewirtschaftungsplan (NGP 2021)","National"
"Romania","Integrated National Energy and Climate Plan (INECP) of Romania (2025-2030 update)","Published","Planul Național Integrat în domeniul Energiei și Schimbărilor Climatice","National"
"Germany","Schleswig-Holstein Law on the Energy Transition, Climate Protection and Adaptation to the Consequences of Climate Change (Energy Transition and Climate Protection Act - EWKG)","Cancelled","Gesetz für Energiewende, Klimaschutz und Anpassung an die Folgen des Klimawandels (Energiewende- und Klimaschutzgesetz – EWKG)","Regional"
"Romania","Romania's 2024 National Inventory Document (NID)","Published","","National"
"Romania","National Strategy on Integrated Coastal Zone Management & its Implementation Plan","Published","Strategia Națională privind gospodărirea integrată a zonei costiere & Planul de Implementare","National"
"Germany","Lower Saxony Forest and Landscape Management Act (NWaldLG)","Cancelled","Niedersächsisches Wald- und Landschaftspflegegesetz (NWaldLG)","Regional"
"Germany","Bavarian Forest Act (BayWaldG)","Cancelled","Bayerisches Waldgesetz (BayWaldG)","Regional"
"","Forest Act for the State of Mecklenburg-Western Pomerania (State Forest Act - LWaldG)","Cancelled","Waldgesetz für das Land Mecklenburg-Vorpommern (Landeswaldgesetz – LWaldG)","Regional"
"Germany","Course Nature 2030 Strategy for the conservation of biological diversity in Schleswig-Holstein","Published","Kurs Natur 2030 Strategie zum Erhalt der biologischen Vielfalt in Schleswig-Holstein","Regional"
"Romania","Long Term Strategy of Romania","Published","Strategia pe Termen Lung a României pentru Reducerea Emisiilor de Gaze cu Efect de Seră","National"
"France","4th French National Wetlands Plan (2022-2026)","Published","4e Plan national milieux humides 2022-2026","National"
"Germany","Adaptation to Climate Change - Roadmap for Schleswig-Holstein","Published","Anpassung an den Klimawandel Fahrplan für Schleswig-Holstein","Regional"
"France","Integrating wetlands into urban planning","Published","Intégrer les milieux humides dans l'aménagement urbain","National"
"France","Brittany regional development directive","Published","Directive régionale d'aménagement de Bretagne","Regional"
"","Sustainability Strategy for Lower Saxony 2018","Cancelled","Nachhaltigkeitsstrategie für Niedersachsen 2018","Global"
"France","National low carbon strategy no. 3 (SNBC3)","Published","Projet de stratégie nationale bas-carbone no. 3 (SNBC3)","National"
"France","National low carbon strategy no. 2 (SNBC 2)","Published","Stratégie nationale bas-carbone no. 2 (SNBC 2)","National"
"France","The 3rd French National Adaptation Plan (PNACC-3)","Published","le 3e Plan national d'adaptation au changement climatique (PNACC-3)","National"
"France","National Flood Risk Management Strategy","Published","Stratégie nationale de gestion des risques d'inondation (SNGRI)","National"
"France","[no peat, but shall consult expert] Law No. 2025-268 of March 24, 2025 on guidelines for food sovereignty and generational renewal in agriculture (1)","Cancelled","","National"
"France","National Strategy to Combat Imported Deforestation 2018-2030","Published","Stratégie nationale de lutte contre la déforestation importée 2018-2030","National"
"France","Better Action – Ecological Planning: Summary of the Plan, September 2023","Published","Mieux Agir – La Planification Écologique : Synthèse du Plan, Septembre 2023","National"
"France","The French assessment of ecosystems and ecosystem services (Efese) Conceptual Framework","Published","L’évaluation française des écosystèmes et des services écosystémiques (Efese) Cadre conceptuel","National"
"France","Water Plan (press kit: 2 years of the Water Plan)","Published","Plan eau (dossier de presse : 2 ans du Plan eau)","National"
"France","RBMP for the Adour-Garonne basin (2022-2027)","Published","[RBMP] Schéma Directeur d'Aménagement et de Gestion des Eaux du bassin Adour-Garonne (SDAGE)","Regional"
"France","The Climate and Resilience Law","Published","La loi Climat et Résilience","National"
"France","French Environment Code (2025)","Published","Code de l'Environnement (2025)","National"
"France","France's 2024 National Inventory Document (NID)","Cancelled","","National"
"France","[duplicate] Taking action: Ecological Planning (Plan Summary)","Cancelled","Mieux agir : la planification écologique (synthèse du plan)","National"
"France","[temp??] The River Basin Management Plans of France (2022-2027)","Cancelled","[temp??] Les plans de gestion des bassins hydrographiques de la France (2022-2027)","Regional"
"France","Guide to the management of predominantly terrestrial Natura 2000 sites","Published","Guide relatif à la gestion des sites Natura 2000 majoritairement terrestres","National"
"Germany","Hessian Law on the Protection of Nature and Landscape Care (Hessian Nature Conservation Act - HeNatG 1) )","Cancelled","Hessisches Gesetz zum Schutz der Natur und der Landschaftspflege (Hessisches Naturschutzgesetz – HeNatG 1)","Regional"
"Lithuania","Program of the government of the nineteenth republic of Lithuania (XV-54)","Published","Devynioliktosios lietuvos respublikos vyriausybės programa","National"
"Germany","Law on the Protection of Nature and Homeland in Saarland - Saarland Nature Conservation Act - (SNG)","Cancelled","Gesetz zum Schutz von Natur und Heimat im Saarland - Saarländisches Naturschutzgesetz (SNG)","Regional"
"Lithuania","Resolution On amendment of the resolution of the government of the republic of lithuania of 29 april 1999 no. 490 “on approval of regional park regulations”","Cancelled","","National"
"Germany","Thuringian Law on the Implementation of the Federal Nature Conservation Act and on Further State Regulation of Nature Conservation and Landscape Management (Thuringian Nature Conservation Act -ThürNatG-)","Cancelled","Thüringer Gesetz zur Durchführung des Bundesnaturschutzgesetzes und zur Regelung weiterer landesrechtlicher Regelungen des Naturschutzes und der Landschaftspflege (Thüringer Naturschutzgesetz - ThürNatG-)","Regional"
"Lithuania","Resolution On the approval of the implementation plan of the provisions of the nineteenth programme of the government of the republic of lithuania (March 12, 2025 No. 151)","Published","Nutarimas Dėl devynioliktosios lietuvos respublikos vyriausybės programos nuostatų įgyvendinimo plano patvirtinimo (2025 m. Kovo 12 d. Nr. 151)","National"
"Germany","Forest Act for the State of Mecklenburg-Western Pomerania (State Forest Act - LWaldG)","Cancelled","Waldgesetz für das Land Mecklenburg-Vorpommern (Landeswaldgesetz – LWaldG)","Regional"
"Germany","Forest Act for the State of Schleswig-Holstein (State Forest Act - LWaldG)","Cancelled","Waldgesetz für das Land Schleswig-Holstein (Landeswaldgesetz – LWaldG)","Regional"
"Germany","Priority action framework (PAF) for Natura 2000 in the Federal Republic of Germany pursuant to Article 8 of Council Directive 92/43/EEC on the conservation of natural habitats and of wild fauna and flora (Habitats Directive) for the period 2021-2027","Published","Prioritätsaktionsrahmen (PAF) für Natura 2000 in der Bundesrepublik Deutschland gemäß Artikel 8 der Richtlinie 92/43/EWG des Rates zur Erhaltung der natürlichen Lebensräume sowie der wildlebenden Tiere und Pflanzen (Habitat-Richtlinie) für den Zeitraum 2021–2027","National"
"Germany","Forest Act for Baden-Württemberg (State Forest Act - LWaldG)","Cancelled","Landeswaldgesetz Baden-Württemberg (LWaldG)","Regional"
"Germany","Brandenburg Climate Plan","Published","Klimaplan Brandenburg","Regional"
"Lithuania","Sustainable Soil Use Action Plan (Soil Sustainable Use Action Plan 2030) (April 7, 2023 No. 3D-233)","Published","Dėl Dirvožemio tvaraus naudojimo veiksmų plano patvirtinim (2023 m. balandžio 7 d. Nr. 3D-233)","National"
"Germany","Insect Diversity Action Program Lower Saxony","Published","Aktionsprogramm Insektenvielfalt Niedersachsen","Regional"
"Germany","Bremen Law on Nature Conservation and Landscape Management (BremNatG)","Cancelled","Bremisches Gesetz zum Naturschutz und zur Landschaftspflege (BremNatG)","Regional"
"","Berlin Strategy for Biodiversity","Cancelled","Berliner Strategie zur Biologischen Vielfalt","Regional"
"Greece","Law 3937/2011: Conservation of biodiversity and other provisions","Published","Νόμος 3937/2011 - Διατήρηση της βιοποικιλότητας και άλλες διατάξεις","National"
"Greece","Prioritised Action Framework (PAF) for Natura 2000 in Greece","Published","Πλαίσιο Δράσεων Προτεραιότητας για το Δίκτυο Natura 2000 στην Ελλάδα","National"
"Greece","Greek National Biodiversity and Action Plan","Published","Εθνική Στρατηγική & Σχέδιο Δράσης για τη Βιοποικιλότητα","National"
"Greece","Law 5037/2023 on provisions on renewable energies and environmental protection","Published","Νόμος 5037/2023 περί διατάξεων για τις ανανεώσιμες πηγές ενέργειες και την προστασία του περιβάλλοντος","National"
"Greece","Greek National Strategy for Adaptation to Climate Change (ESPKA)","Published","Εθνική Στρατηγική για την Προσαρμογή στην Κλιματική Αλλαγή (ΕΣΠΚΑ)","National"
"Greece","[WIP] Greek National Recovery and Resilience Plan (NRRP) – Greece 2.0","Cancelled","[WIP] Εθνικό Σχέδιο Ανάκαμψης και Ανθεκτικότητας Ελλάδα – 2.0","National"
"Germany","Federal Nature Conservation Act (BNatSchG)","Published","Gesetz über Naturschutz und Landschaftspflege (BNatschG)","National"
"Germany","Federal Soil Protection Act (BBodSchG)","Published","Gesetz zum Schutz vor schädlichen Bodenveränderungen und zur Sanierung von Altlasten (Bundes-Bodenschutzgesetz - BBodSchG)","National"
"Germany","Federal Soil Protection and Contaminated Sites Regulation (BBodSchV)","Published","Bundes-Bodenschutz- und Altlastenverordnung (BBodSchV)","National"
"Germany","Federal Forest Act (BWaldG)","Published","Gesetz zur Erhaltung des Waldes und zur Förderung der Forstwirtschaft (Bundeswaldgesetz - BWaldG)","National"
"Germany","Federal Water Act (WHG)","Published","Gesetz zur Ordnung des Wasserhaushalts (Wasserhaushaltsgesetz) (WHG)","National"
"Germany","Water Association Act (WVG)","Published","Gesetz über Wasser- und Bodenverbände (Wasserverbandsgesetz) (WVG)","National"
"Germany","Land Consolidation Act (FlurbG)","Published","Flurbereinigungsgesetz (FlurbG)","National"
"Germany","German Federal Building Code (BauGB)","Published","Deutsch Baugesetzbuch (BauGB)","National"
"Germany","German Spatial Planning Act (ROG)","Published","Raumordnungsgesetz (ROG)","National"
"Germany","Federation-Länder Target Agreement on Climate Change Mitigation through Peat Soil Conservation","Published","Bund-Länder-Zielvereinbarung zum Klimaschutz durch Moorbodenschutz","National"
"Germany","Funding guideline “Information, activation, control and support of measures for the rewetting of peatland soils"" (InAWi)","Published","Förderrichtlinie  „Information, Aktivierung, Steuerung und Unterstützung  von Maßnahmen zur Wiedervernässung von Moorböden"" (InAWi)","National"
"Lithuania","Measures no. 15-001-06-02-02  “increase greenhouse absorption capacity (by restoring the hydrological regime of wetlands (peatlands)”","Published","kaimo plėtros bei žuvininkystės plėtros programos pažangos priemonės Nr. 15-001-06-02-02 „Didinti ŠESD absorbcinius pajėgumus (atkuriant pelkių (durpžemių) hidrologinį režimą)“","National"
"Lithuania","Lithuanian 2021-2030 National Progress Plan","Published","2021–2030 metų nacionalinis pažangos planas","National"
"Spain","Spanish Forest Strategy Horizon 2050","Published","Estrategia Forestal Española horizonte 2050","National"
"Greece","CAP Strategic Plan of Greece 2023-2027 (2nd amendment)","Published","Στρατηγικό Σχέδιο Κοινής Αγροτικής Πολιτικής της Ελλάδας 2023–2027 (2η Τροποποίηση)","National"
"Spain","Spain's Common Agricultural Policy (CAP) Strategic Plan","Published","El Plan Estratégico de la PAC de España","National"
"Spain","Climate Change and Energy Transition Act (Law 7/2021, of 20 May, on climate change and energy transition)","Published","Ley de cambio climático y transición energética (Ley 7/2021, de 20 de mayo, de cambio climático y transición energética)","National"
"Spain","Groundwater Action Plan (2023-2030), Spain","Published","Plan de Acción de Aguas Subterráneas (2023-2030)","National"
"Greece","Law 4685/2020 - Modernization of environmental legislation, incorporation into Greek legislation of Directives 2018/844 and 2019/692 of the European Parliament and of the Council, and other provisions","Published","Νόμος 4685/2020 - κσυγχρονισμός περιβαλλοντικής νομοθεσίας, ενσωμάτωση στην ελληνική νομοθεσία των Οδηγιών 2018/844 και 2019/692 του Ευρωπαϊκού Κοινοβουλίου και του Συμβουλίου και λοιπές διατάξεις","National"
"Greece","Greece's 2024 National Inventory Document (NID)","Cancelled","","National"
"","JMD 86227/2245/2024 [EU ETS]","Cancelled","YPEN/DKAPA/86227/2245/2024 [EU ETS]","National"
"Greece","Greek National Energy and Climate Plan (NECP) 2021-2030 - revised edition (2025)","Published","Εθνικό Σχέδιο για την Ενέργεια και το Κλίμα (ΕΣΕΚ) 2021-2030 – Αναθεωρημένη Έκδοση (2025)","National"
"Germany","Germany National Biomass Strategy (NABIS)","Published","Eckpunkte für eine nationale Biomassestrategie (NABIS)","National"
"Germany","Funding guideline for the rewetting and restoration of peatlands important for nature conservation (1,000 Moore)","Published","Förderrichtlinie für die Wiedervernässung und Renaturierung naturschutzbedeutsamer Moore (Förderrichtlinie 1.000 Moore)","National"
"United Kingdom","Scottish National Flood Resilience Strategy","Published","Scottish National Flood Resilience Strategy","Regional"
"United Kingdom","Scottish Biodiversity Strategy to 2045","Published","Scottish Biodiversity Strategy to 2045","Regional"
"United Kingdom","The Scottish Soil Framework","Published","The Scottish Soil Framework","Regional"
"United Kingdom","Scotland's Third Land Use Strategy: Getting the best from our land","Published","Scotland's Third Land Use Strategy: Getting the best from our land","Regional"
"United Kingdom","National Development Plan for Crofting","Published","National Development Plan for Crofting","Regional"
"United Kingdom","Scottish National Planning Framework 4","Published","Scottish National Planning Framework 4","Regional"
"United Kingdom","[draft] Northern Ireland Peatland Strategy 2022-2040","Cancelled","","Regional"
"United Kingdom","Welsh Natural Resources Policy","Published","","Regional"
"United Kingdom","Welsh Sustainable Farming Scheme Outline Proposals for 2025","Published","","Regional"
"United Kingdom","Woodlands for Wales: strategy","Published","","Regional"
"United Kingdom","Scotland’s National Peatland Plan: Working for our future","Published","","Regional"
"Germany","Brandenburg Peatland Protection Program","Cancelled","Brandenburger Moorschutzprogramm","Regional"
"Germany","Lower Saxony Peatland Landscapes Program","Published","Programm Niedersächsische Moorlandschaften","Regional"
"Germany","Schleswig-Holstein Biological Climate Protection through Peatland Protection and New Forest Creation. Report by the State Government","Published","Schleswig-Holstein Biologischer Klimaschutz durch Moorschutz und Neuwaldbildung","Regional"
"Germany","Mecklenburg-Western Pomerania Concept for the Protection and Use of Peatlands","Published","Mecklenburg-Vorpommerns Konzept zum Schutz und zur Nutzung der Moore","Regional"
"Germany","Mecklenburg-Vorpommern Strategy for the Protection and use of Peatlands","Published","Mecklenburg-Vorpommern Strategie zum Schutz und zur Nutzung der Moore","Regional"
"United Kingdom","Planning Policy Wales Edition 12","Published","Planning Policy Wales Edition 12","Regional"
"Germany","Technical strategy for implementing the management-related proposals of the peatland protection concept: Mecklenburg-Western Pomerania Implementation of paludiculture on agricultural land","Published","Mecklenburg-Vorpommern Umsetzung von Paludikultur auf landwirtschaftlich genutzten Flächen","Regional"
"Germany","Brandenburg State Low Water Concept","Published","Landesniedrigwasserkonzept Brandenburg","Regional"
"United Kingdom","Dee and Western Wales river basin management plans 2021-2027","Published","Dee and Western Wales river basin management plans 2021-2027","Regional"
"Germany","Baden-Wurttemberg Peatland Protection Program","Published","Moorschutzprogramm Baden-Württemberg","Regional"
"Germany","North Rhine-Westphalia Nature Conservation Concept for the Restoration of Peatlands","Published","Nordrhein-Westfalen Naturschutz-Fachkonzept zur Wiederherstellung von Mooren","Regional"
"Germany","Schleswig-Holstein Strategy for the future of the lowlands until 2100","Published","Schleswig-Holstein Strategie für die Zukunft der Niederungen bis 2100 Zukunft","Regional"
"","The Convention for the Protection of the Mediterranean Sea Against Pollution (Barcelona Convention)","Published","The Convention for the Protection of the Mediterranean Sea Against Pollution (Barcelona Convention)","Global"
"United Kingdom","Delivering Our Future, Valuing Our Soils: A Sustainable Agricultural Land Management Strategy for Northern Ireland","Published","","Regional"
"Germany","Brandenburg Peatland Protection Program","Published","Moorschutzprogramm Brandenburg","Regional"
"Germany","[no pdf] Rhineland-Palatinate Peat Protection Program","Cancelled","Moorschutzprogramm Rheinland-Pfalz","Regional"
"Germany","National Circular Economy Strategy","Published","Nationale Kreislaufwirtschaftsstrategie","National"
"Germany","Law on the Valuation of Agricultural Soil (BodSchätzG)","Published","Bodenschätzungsgesetz (BodSchätzG)","National"
"Germany","(no peat) Ordinance on the Protection of Wild Animal and Plant Species (Federal Species Protection Ordinance - BArtSchV)","Cancelled","Verordnung zum Schutz wild lebender Tier- und Pflanzenarten (Bundesartenschutzverordnung - BArtSchV)","National"
"Germany","Ordinance on the avoidance and compensation of interventions in nature and landscape within the jurisdiction of the Federal Administration","Published","Verordnung über die Vermeidung und die Kompensation von Eingriffen in Natur und Landschaft im Zuständigkeitsbereich der Bundesverwaltung","National"
"Germany","[dup] Regulation on requirements for the sustainable production of biomass for electricity generation (BioSt-NachV)","Cancelled","Verordnung über Anforderungen an eine nachhaltige Herstellung von Biomasse zur Stromerzeugung (BiomassestromNachhaltigkeitsverordnung - BioSt-NachV)","National"
"Germany","Biofuel Sustainability Regulation (Biokraft-NachV)","Cancelled","Verordnung über Anforderungen an eine nachhaltige Herstellung von Biokraftstoffen (Biokraftstoff-Nachhaltigkeitsverordnung - Biokraft-NachV)","National"
"Ireland","Ireland's Territorial Just Transition Plan","Published","Ireland's Territorial Just Transition Plan","National"
"Germany","Regulation on the implementation of conditionality under the Common Agricultural Policy (CAP Conditionality Regulation - GAPKondV)","Cancelled","Verordnung zur Durchführung der im Rahmen der Gemeinsamen Agrarpolitik geltenden Konditionalität (GAP-KonditionalitätenVerordnung - GAPKondV)","National"
"Germany","[guidebook, not policy] Bavarian Peatland Restoration Compact","Cancelled","Bayerische Moorrenaturierung Kompakt","Regional"
"Germany","(no peat) German Immediate Climate Adaptation Program","Cancelled","Deutsch Sofortprogramm Klimaanpassung","National"
"Germany","(no peat) German Law on the Prevention and Remediation of Environmental Damage (USchadG)","Cancelled","Deutsch Gesetz über die Vermeidung und Sanierung von Umweltschäden (USchadG)","National"
"Germany","German Law for the expansion of Renewable Energies","Published","Deutsch Gesetz für den Ausbau erneuerbarer Energien","National"
"Germany","(no peat) Law on the Saving of Energy and the Use of Renewable Energies for Heating and Cooling in Buildings (GEG)","Cancelled","Gesetz zur Einsparung von Energie und zur Nutzung erneuerbarer Energien zur Wärme- und Kälteerzeugung in Gebäuden (GEG)","National"
"Germany","Funding guidelines for natural climate protection in municipalities in rural areas","Published","Förderrichtlinie für Natürlichen Klimaschutz in kommunalen Gebieten im ländlichen Raum","National"
"","eng title","Cancelled","test policy","Global"
"","yw testing item: Global Peatlands Assessment: The State of the World’s Peatlands","Cancelled","yw testing item: Global Peatlands Assessment: The State of the World’s Peatlands","Global"
"","yw test 2 peatland policy selection fields","Cancelled","yw test 2 peatland policy selection fields","National"
"","yw test language input keywords","Cancelled","yw test language input keywords","Global"
"Croatia","test test","Cancelled","test govt level publisher selection","Regional"
"Croatia","test creating publisher","Cancelled","test publisher creation","National"
"Croatia","test creating publisher","Cancelled","test publisher creation","National"
"","test","Cancelled","test","Global"
"","test","Cancelled","test","Global"
"Cyprus","CAP Strategic Plan 2023–2027","Published","ΣΤΡΑΤΗΓΙΚΟ ΣΧΕΔΙΟ ΚΑΠ 2023–2027","National"
"Italy","Eng title","Cancelled","Original title","Regional"
"Denmark","...","Cancelled","test new policy title original language","National"
"","Eng title","Cancelled","test policy","National"
"","...","Cancelled","test policy","Global"
"Belgium","test english","Cancelled","test original langu","Regional"
"Finland","sept 22 finnish testing eng","Cancelled","sept 22 finnish testing","National"
"United Kingdom","Northern Ireland Peatland Strategy to 2040","Published","","National"
"Ireland","testing by yasar in english","Cancelled","testing by yasar",""
"Austria","englishtesting11","Cancelled","englishtesting11","Global"
"United Kingdom","Northern Ireland Peatland Strategy 2021-2040","Cancelled","Northern Ireland Peatland Strategy 2021-2040","National"
"Germany","German Federal Government's Climate Action Programme 2023","Published","Klimaschutzprogramm 2023 der Bundesregierung","National"
"Poland","Polish Water Law","Published","Prawo Wodne","National"
"Poland","Plan for Counteracting the Effects of Drought (PPSS)","Published","Plan przeciwdziałania skutkom suszy (PPSS)","National"
"Poland","Water Scarcity Prevention Programme (PPNW)","Published","Program przeciwdziałania niedoborowi wody (PPNW)","National"
"Germany","Federal Regulation for the Protection of Species (BArtSchV)","Cancelled","Verordnung zum Schutz wild lebender Tier- und Pflanzenarten (Bundesartenschutzverordnung -  BArtSchV)","National"
"Germany","Environmental Damage Act (USchadG)","Published","Gesetz über die Vermeidung und Sanierung von Umweltschäden (Umweltschadensgesetz - USchadG)","National"
"Germany","Federal Compensation Act (BKompV)","Published","Verordnung über die Vermeidung und die Kompensation von Eingriffen in Natur und Landschaft im Zuständigkeitsbereich der Bundesverwaltung (Bundeskompensationsverordnung - BKompV)","National"
"Germany","[dup] Law on the Valuation of Agricultural Land (Land Valuation Act - BodSchätzG)","Cancelled","Gesetz zur Schätzung des landwirtschaftlichen Kulturbodens (Bodenschätzungsgesetz - BodSchätzG)","National"
"Germany","CAP Direct Payments Implementing Regulation (GAPDZV)","Published","Verordnung zur Durchführung der GAP-Direktzahlungen (GAP-Direktzahlungen-Verordnung - GAPDZV)","National"
"Germany","Regulation implementing the conditionality applicable under the Common Agricultural Policy (CAPCondV)","Published","Verordnung zur Durchführung der im Rahmen der Gemeinsamen Agrarpolitik geltenden Konditionalität (GAP-KonditionalitätenVerordnung - GAPKondV)","National"
"Germany","Joint Task for the ""Improvement of Agricultural Structures and Coastal Protection"" (GAKG)","Published","Gesetz über die Gemeinschaftsaufgabe ""Verbesserung der Agrarstruktur und des Küstenschutzes"" (GAK-Gesetz - GAKG)","National"
"Germany","Biomass Electricity Sustainability Regulation (BioSt-NachV)","Published","Biomassestrom-Nachhaltigkeitsverordnung (BioSt-NachV)","National"
"Germany","Immediate Action Programme for Climate Adaptation","Published","Sofortprogramm Klimaanpassung","National"
"Germany","Biofuel Sustainability Regulation (Biokraft-NachV)","Published","Verordnung über Anforderungen an eine nachhaltige Herstellung von Biokraftstoffen (Biokraftstoff-Nachhaltigkeitsverordnung - Biokraft-NachV)","National"
"Germany","Renewable Energy Sources Act (EEG)","Published","Gesetz für den Ausbau erneuerbarer Energien (Erneuerbare-Energien-Gesetz - EEG)","National"
"Germany","Law amending the Renewable Energy Sources Act and other energy-related regulations to increase the expansion of photovoltaic energy generation (Solar Package 1)","Published","Gesetz zur Änderung des Erneuerbare-Energien-Gesetzes und weiterer energiewirtschaftsrechtlicher Vorschriften zur Steigerung des Ausbaus photovoltaischer Energieerzeugung (Solarpaket 1)","National"
"Germany","Building Energy Act (GEG)","Published","Gesetz zur Einsparung von Energie und zur Nutzung erneuerbarer Energien zur Wärme- und Kälteerzeugung in Gebäuden* (Gebäudeenergiegesetz - GEG)","National"
"Austria","Testing1","Cancelled","Testing1",""
"Ireland","English Policy Title","Cancelled","Testing Policy","National"
"Germany","Heat Planning Act (WPG)","Published","Gesetz für die Wärmeplanung und zur Dekarbonisierung der Wärmenetze (Wärmeplanungsgesetz - WPG)","National"
"Germany","...","Cancelled","Düngeverordnung","National"
"Ireland","...","Cancelled","Very Important Peatland Policy","National"
"Ireland","Niall's Test Policy","Cancelled","Niall's Test Policy","National"
"","Peat reduction strategy","Cancelled","Torfminderungsstrategie","National"
"Poland","Water Law","Cancelled","Prawo Wodne","National"
"Germany","...","Cancelled","Rahmenplan der Gemeinschaftsaufgabe  „Verbesserung der Agrarstruktur und  des Küstenschutzes“ 2025-2028","National"
